totalProductionkWh;totalConsumptionkWh
87.526459869;53.952
82.4577953255;55.741
77.65645542;54.966
96.8636651326;55.797
84.7570187496;55.894
95.9638458931;55.416
64.6775077601;54.322
83.8355043404;56.654
96.1444748032;55.395
82.1795795559;54.789
77.656480042;55.888
65.5432665767;55.068
85.7614542137;56.473
95.9638458931;56.069
85.7614542137;55.414
83.1412775781;54.656
82.1795164785;52.989
83.3183444505;53.678
82.5803746177;58.348
84.7569879073;55.074
83.8354629184;55.719
86.2134869483;55.476
85.7613939615;53.69
95.9638024172;55.731
82.6027659196;53.979
73.8259753609;55.673
89.629665305;55.265
85.4379115396;55.322
85.761380886;56.853
89.629665305;55.813
87.5264188704;58.492
83.141265226;54.564
96.8636201458;55.121
83.3183319833;56.579
83.141265226;54.769
95.4069867357;55.63
85.4379715192;56.344
89.6297247485;55.656
65.5432632106;56.813
82.4578108999;54.325
64.3053439059;53.873
73.8260325398;54.257
87.5264782535;55.135
96.8636851467;56.173
64.3053439059;54.224
82.6028129775;55.032
85.761450529;54.602
86.2135340003;55.364
85.761450529;54.234
65.5432632106;57.572
94.1775187287;55.387
77.6564640839;56.128
77.2480947589;54.98
83.3183857129;55.215
95.4069726144;53.685
87.7066984222;55.446
79.3127450776;54.462
77.2480947589;57.239
95.4069726144;54.435
85.4379600409;55.829
77.2481429472;55.401
77.2481429472;55.255
85.4380095558;56.523
64.3053876109;55.467
82.457842707;55.455
65.5432039491;57.371
82.6027560851;57.347
82.17950105;55.928
87.5264181873;54.184
94.1774691035;56.324
83.8355027959;55.516
95.4069882062;55.267
82.5804259811;54.41
64.3053467925;55.654
77.6564784675;55.809
82.6028137589;54.976
95.9638439768;57.228
82.6028137589;55.899
73.8260340439;56.938
65.5432653082;53.005
83.3184004619;56.484
79.3127513552;54.344
83.3184004619;54.25
73.8260340439;54.785
84.7570382732;55.603
74.0086431263;54.301
83.8355146303;55.646
96.1444941106;54.276
83.3184189425;55.598
82.4578246518;55.635
82.4578043556;55.014
85.7614405721;54.477
77.65646735;57.538
87.7067019354;55.199
89.6297171171;55.096
89.6297507154;55.315
86.2135585415;53.465
77.2481300912;56.819
86.2135585415;56.039
64.6775274751;53.491
